track_id,true_subgenre,subgenre_centroid_assignment,kmeans_cluster_assignment
Chill House/Act_Like_Love,Chill House,Chill House,3
Chill House/Calvin_Harris_-_Blessings_ft_Clementine_Douglas,Chill House,Chill House,3
Chill House/Carneyval_-_Afterglow_Official_Audio,Chill House,Chill House,3
Chill House/DJ_Katch_x_Amira_Eldine_-_Youre_Makin_Me_High,Chill House,Party House,0
Chill House/Gorgon_City_-_Sky_High,Chill House,Chill House,3
Chill House/Harrison_-_WHATEVER_YOU_LIKE_feat_MVRII_Official_Video,Chill House,Party House,0
Chill House/I_Can_Finally_Know,Chill House,Chill House,3
Chill House/Jay_Dunham_-_Summer_On_My_Mind_Elli_Eli_Remix_Original_Version,Chill House,Chill House,3
Chill House/Love_Me_Better_Nico_Pusch_Remix,Chill House,Chill House,3
Chill House/MOWE_-_Birds_Flying_High,Chill House,Chill House,3
Chill House/NGTY_Alev_-_What_We_Had,Chill House,Party House,0
Chill House/Nights_Out,Chill House,Chill House,3
Chill House/Shermanology_Guitarra_Audio_Only,Chill House,Chill House,3
Chill House/Start_Movin,Chill House,Chill House,3
Chill House/Water,Chill House,Chill House,3
Chill House/WHTKD_-_Tell_Me,Chill House,Chill House,3
Chiller vibe goa/Benzoo_Ebrax_-_End_Of_The_Day_-_Official,Chiller vibe goa,Chiller vibe goa,2
Chiller vibe goa/Blastoyz_Skazi_-_Heart_On_The_Tree_Official_Video,Chiller vibe goa,Party Goa,2
Chiller vibe goa/DZP_Jilax_-_Formula_Labrinth_Flip,Chiller vibe goa,Party Goa,2
Chiller vibe goa/Ghost_Rider_Ranji_-_Cant_sleep_Official_Lyrics_Video,Chiller vibe goa,Chiller vibe goa,2
Chiller vibe goa/Ghost_Rider_Ranji_-_Hope,Chiller vibe goa,Chiller vibe goa,2
Chiller vibe goa/Neelix_Symphonix_-_Stupid_as_Fvck_-_Official,Chiller vibe goa,Party Goa,2
Chiller vibe goa/Section303_-_Distractions_Original_Mix_-_Official_Audio,Chiller vibe goa,Chiller vibe goa,2
Chiller vibe goa/Symphonix_Davee_Ela_-_Dreaming_High_-_Official,Chiller vibe goa,Chiller vibe goa,2
Chiller vibe goa/Symphonix_Static_Movement_-_Awakening_Soul_-_Official,Chiller vibe goa,Chiller vibe goa,2
Chiller vibe goa/The_Way_Youre_With_Me_Original_Mix,Chiller vibe goa,Chiller vibe goa,2
Dark Techno/753_-_Where_is_The_Heaven_Official_Videoclip,Dark Techno,Dark Techno,1
Dark Techno/Greg_Notill_Vince_Weyn_-_Far_Out_Distance_Original_Mix,Dark Techno,Dark Techno,1
Dark Techno/KASST_-_Road_To_Nowhere_ROAD1,Dark Techno,Dark Techno,1
Dark Techno/Living_in_my_mind,Dark Techno,Dark Techno,1
Dark Techno/L_V_N_-_Hypomania_CR013,Dark Techno,Dark Techno,1
Dark Techno/L_V_N_-_I_Thought_You_Were_Real_COUP005,Dark Techno,Dark Techno,1
Dark Techno/L_V_N_-_Yet_To_Come,Dark Techno,Dark Techno,1
Dark Techno/Michael_Klein_-_Wasser,Dark Techno,Dark Techno,1
Dark Techno/Niereich_Shadym_-_Dreams_Original_Mix,Dark Techno,Dark Techno,1
Dark Techno/Niki_Istrefi_-_Red_Armor_EUROMANTIC001,Dark Techno,Dark Techno,1
Dark Techno/Rigid_Kobosil_44_Rush_Mix,Dark Techno,Dark Techno,1
Dark Techno/Source_Code,Dark Techno,Dark Techno,1
Dark Techno/The_Boys_In_Ankara,Dark Techno,Dark Techno,1
Dark Techno/To_My_Berlin_Ravers,Dark Techno,Emotional Techno,6
Dark Techno/Trouble,Dark Techno,Dark Techno,1
Dark Techno/Umbraid_-_Just_Focus_JELLVA002,Dark Techno,Dark Techno,1
Dark Techno/Unter_Strom,Dark Techno,Dark Techno,1
